1291,1235,1
1291,1187,2
1291,1139,3
1291,1091,4
1291,1043,5
1291,995,6
1291,947,7
1291,899,8
1291,851,9
1291,803,10
1291,755,11
1291,707,12
1291,659,13
1291,611,14
1291,563,15
1291,515,16
1291,467,17
1291,419,18
1291,371,19
1291,323,20
1291,275,21
1291,227,22
1291,179,23
1291,131,24
1291,83,25
1243,83,26
1195,83,27
1147,83,28
1099,83,29
1051,83,30
1003,83,31
955,83,32
907,83,33
859,83,34
811,83,35
763,83,36
715,83,37
667,83,38
619,83,39
571,83,40
523,83,41
475,83,42
427,83,43
379,83,44
331,83,45
283,83,46
235,83,47
187,83,48
139,83,49
91,83,50
91,131,51
91,179,52
91,227,53
91,275,54
91,323,55
91,371,56
91,419,57
91,467,58
91,515,59
91,563,60
91,611,61
91,659,62
91,707,63
91,755,64
91,803,65
91,851,66
91,899,67
91,947,68
91,995,69
91,1043,70
91,1091,71
91,1139,72
91,1187,73
91,1235,74
950,133,75
941,177,76
941,221,77
941,265,78
941,309,79
941,353,80
941,397,81
941,441,82
941,485,83
941,529,84
914,529,85
887,529,86
860,529,87
833,529,88
806,529,89
779,529,90
752,529,91
725,529,92
700,529,93
